phase_id,task_id,pack_bytes,pack_lines,pack_sections,reads_glob_count,writes_glob_count,decision_refs_count,acceptance_refs_count
P29,P29-T1,6409,165,8,4,4,0,1
P29,P29-T2,6499,162,8,3,2,0,1
P29,P29-T3,8181,229,9,4,4,0,1
P29,P29-T4,5904,153,8,3,3,0,1
P29,P29-T5,5822,150,8,3,2,0,1
P3,P3-T1,5679,158,10,0,0,0,0
P3,P3-T2,334342,4185,243,0,0,0,0
P3,P3-T3,5650,158,10,0,0,0,0
P3,P3-T4,5711,158,10,0,0,0,0
P30,P30-T0,11628,268,13,3,2,1,1
P30,P30-T1,16707,390,20,3,4,1,1
P30,P30-T2,16079,381,20,4,4,1,1
P30,P30-T3,16486,389,20,6,6,1,1
P30,P30-T4,6558,158,8,2,3,0,1
P31,P31-T0,8059,204,11,3,2,1,1
P31,P31-T1,8826,227,12,1,3,0,0
P31,P31-T2,337841,4265,245,3,5,0,0
P31,P31-T3,4599,128,6,3,4,0,0
P31,P31-T4,6104,188,7,3,5,0,0
P4,P4-T1,3361,126,5,0,0,0,0
P4,P4-T2,1773,65,4,0,0,0,0
P4,P4-T3,6093,167,10,0,0,0,0
P4,P4-T4,1788,65,4,0,0,0,0
P4,P4-T5,1781,65,4,0,0,0,0
P5,P5-T1,3989,149,5,0,0,0,0
P5,P5-T2,6830,192,10,0,0,0,0
P5,P5-T3,6968,195,10,0,0,0,0
P5,P5-T4,7169,197,10,0,0,0,0
P5,P5-T5,2802,94,4,0,0,0,0
P6,P6-T1,3466,98,4,0,0,0,0
P6,P6-T2,3472,99,4,0,0,0,0
P6,P6-T3,3421,97,4,0,0,0,0
P6,P6-T4,7988,205,10,0,0,0,0
P6,P6-T5,3565,99,4,0,0,0,0
P7,P7-T1,5190,128,4,0,0,0,0
P7,P7-T2,5013,126,4,0,0,0,0
P7,P7-T3,9236,228,10,0,0,0,0
P7,P7-T4,9094,226,10,0,0,0,0
P7,P7-T5,9183,227,10,0,0,0,0
P7,P7-T6,6650,188,5,0,0,0,0
P7,P7-T7,4925,124,4,0,0,0,0
P8,P8-T1,4773,122,4,0,0,0,0
P8,P8-T2,6514,187,5,0,0,0,0
P8,P8-T3,6332,184,5,0,0,0,0
P8,P8-T4,6371,185,5,0,0,0,0
P8,P8-T5,4595,120,4,0,0,0,0
P8,P8-T6,4629,121,4,0,0,0,0
P9,P9-T1,4113,116,4,0,0,0,0
P9,P9-T2,5913,183,5,0,0,0,0
P9,P9-T3,5670,178,5,0,0,0,0
P9,P9-T4,4111,116,4,0,0,0,0
P9,P9-T5,4155,117,4,0,0,0,0
P9,P9-T6,5792,180,5,0,0,0,0
P9,P9-T7,4325,120,4,0,0,0,0
